video_id,trending_date,title,channelTitle,view_count,country_name
jbGRowa5tIk,2020-08-12,ITZY “Not Shy” M/V TEASER,JYP Entertainment,560412483,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
nyzhtvtJWDQ,2020-08-14,SuperM 슈퍼엠 ‘100' MV,SMTOWN,529978556,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
wTowEKjDGkU,2020-08-17,ITZY “Not Shy” M/V,JYP Entertainment,1560652691,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
UUOGVgComrU,2020-08-19,TXT (투모로우바이투게더) 'Drama [Japanese Ver.]' Official MV,Big Hit Labels,242062401,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
oxoWhyS9buA,2020-08-19,BTS (방탄소년단) 'Dynamite' Official Teaser,Big Hit Labels,3709983373,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
gdZLi9oWNZg,2020-08-21,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,15982262277,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
BV2FdDmGiW0,2020-08-25,BTS (방탄소년단) 'Dynamite' Official MV (B-side),Big Hit Labels,2557531334,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
ySo1_loUkcQ,2020-08-27,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V TEASER,BLACKPINK,972523337,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
vRXZj0DzXIA,2020-08-28,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,4346416461,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
jUsUzbmSLow,2020-09-01,SuperM 슈퍼엠 ‘호랑이 (Tiger Inside)’ MV,SMTOWN,827362331,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
CN4fffh7gmk,2020-09-03,[CHOREOGRAPHY] BTS (방탄소년단) 'Dynamite' Dance Practice,BANGTANTV,1204096097,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
3CxtK7-XtE0,2020-09-04,DJ Khaled ft. Drake - POPSTAR (Official Music Video - Starring Justin Bieber),DJKhaledVEVO,2026728885,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
I3igok9jQIo,2020-09-04,BTS – “Dynamite”  (Live) | Press Play,Recording Academy / GRAMMYs,442675051,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
X-uJtV8ScYk,2020-09-14,Stray Kids Back Door M/V,JYP Entertainment,1566621574,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
b13xnFp_LJs,2020-09-16,Apple Event — September 15,Apple,730705920,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
MH_vjfNPv70,2020-09-17,BTS Performs Dynamite on AGT - America's Got Talent 2020,America's Got Talent,668652004,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
pvPsJFRGleA,2020-09-18,Justin Bieber - Holy ft. Chance The Rapper,JustinBieberVEVO,1734278782,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
-MyvZMiRGvE,2020-09-25,SuperM 슈퍼엠 ‘One (Monster & Infinity)’ MV,SMTOWN,418193384,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
BflFNMl_UWY,2020-09-27,BTS (방탄소년단) 'Dynamite' Official MV (Choreography ver.),Big Hit Labels,575246257,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
y5g-PTeDkwY,2020-09-29,"BTS, Jimmy Fallon and The Roots Sing Dynamite",The Tonight Show Starring Jimmy Fallon,115670514,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
MXFkjMNXfpY,2020-09-29,BTS: IDOL,The Tonight Show Starring Jimmy Fallon,167378730,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
dyRsYk0LyA8,2020-10-02,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,8966192820,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
lPi7cQGNqcM,2020-10-05,BTS: Dynamite,The Tonight Show Starring Jimmy Fallon,394683023,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
Kw0Mvqpj3Rs,2020-10-06,BTS (방탄소년단) MAP OF THE SOUL ON:E Teaser 1,Big Hit Labels,470521414,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
tyrVtwE8Gv0,2020-10-13,NCT U 엔시티 유 'Make A Wish (Birthday Song)' MV,SMTOWN,2928174974,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
KR0g-1hnQPA,2020-10-14,Apple Event — October 13,Apple,3015536639,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
dfl9KIX1WpU,2020-10-20,[MV] 마마무 (MAMAMOO) - 딩가딩가 (Dingga),MAMAMOO,660775703,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
jRn6b7585es,2020-10-23,TWICE I CAN'T STOP ME M/V Platform Teaser,JYP Entertainment,613347436,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
tcYodQoapMg,2020-10-23,Ariana Grande - positions (official video),ArianaGrandeVevo,1841919376,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
CM4CkVFmTds,2020-10-26,TWICE I CAN'T STOP ME M/V,JYP Entertainment,2081050089,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
UoI9riNffEU,2020-11-03,[MV] 마마무 (MAMAMOO) - AYA,MAMAMOO,1032390433,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
ZeerrnuLi5E,2020-11-17,aespa 에스파 'Black Mamba' MV,SMTOWN,2313262406,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
Wq5S8Dt_HQE,2020-11-18,BTS (방탄소년단) 'Life Goes On' Official Teaser 1,Big Hit Labels,1206448752,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
t3KZnCgiMW0,2020-11-19,BTS (방탄소년단) 'Life Goes On' Official Teaser 2,Big Hit Labels,409482674,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
-5q5mZbe3V8,2020-11-20,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,8738933590,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
A5H8zBb3iao,2020-11-23,NCT U 엔시티 유 '90's Love' MV,SMTOWN,1451475960,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
VgVzTgjKZ7k,2020-12-01,BLACKPINK - THE INVITATION,BLACKPINK,205760260,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
RsEZmictANA,2020-12-11,taylor swift - willow (official music video),TaylorSwiftVEVO,1687035626,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
fn3KWM1kuAw,2020-12-31,Do You Love Me?,Boston Dynamics,134802580,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
fn3KWM1kuAw,2021-01-01,Do You Love Me?,Boston Dynamics,1356680304,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
LGkUW5cUPz8,2021-01-26,ROSÉ - COMING SOON TEASER,BLACKPINK,1413316109,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
1LMz6hgQtBM,2021-01-27,[PREVIEW] BTS (방탄소년단) '2021 BTS WINTER PACKAGE' SPOT,BANGTANTV,427578339,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
9rhadTURsrw,2021-02-08,The Weeknd’s FULL Pepsi Super Bowl LV Halftime Show,NFL,1764073976,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
ssq6X6alZ3w,2021-02-12,Ariana Grande - 34+35 Remix (feat. Doja Cat and Megan Thee Stallion) (Official Video),ArianaGrandeVevo,1466632661,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
p6OoY6xneI0,2021-02-22,SHINee 샤이니 'Don't Call Me' MV,SMTOWN,722199466,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
4czjS9h4Fpg,2021-02-24,Perseverance Rover’s Descent and Touchdown on Mars (Official NASA Video),NASA,572125971,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
OC29BN3R8dM,2021-02-25,BTS Performs “Telepathy” | MTV Unplugged Presents: BTS,MTV,191864167,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
ODY6JWzS8WU,2021-03-04,Starship | SN10 | High-Altitude Flight Test,SpaceX,460004563,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
_W8y2A9sK6s,2021-03-08,ROSÉ - 'On The Ground' M/V TEASER,BLACKPINK,506494423,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
CKZvWhCqx1s,2021-03-12,ROSÉ - 'On The Ground' M/V,BLACKPINK,6520838177,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
vFWv44Z4Jhk,2021-03-15,Dua Lipa - Levitating ft. DaBaby / Don't Start Now (Live at the GRAMMYs 2021),Dua Lipa,1399987171,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
E_SZ3ObGyTA,2021-03-26,BTS (방탄소년단) 'Film out' Official Teaser,Big Hit Labels,758149821,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
zFT3f9biz68,2021-04-02,BTS (방탄소년단) 'Film out' Official MV,HYBE LABELS,4825491823,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
JdBYVNuky1M,2021-04-21,Apple Event — April 20,Apple,614316206,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
hAxqygRdM4g,2021-04-22,Earth Day 2021 Doodle,GoogleDoodles,0,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
NLcim9EPx6c,2021-04-27,BTS (방탄소년단) 'Butter' Logo Trailer,BANGTANTV,489520220,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
_ysomCGaZLw,2021-05-01,ITZY 마.피.아. In the morning M/V,JYP Entertainment,4272631482,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
PkKnp4SdE-w,2021-05-10,NCT DREAM 엔시티 드림 '맛 (Hot Sauce)' MV,SMTOWN,4296697059,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
4TWR90KJl84,2021-05-17,aespa 에스파 'Next Level' MV,SMTOWN,2890521054,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
OOMxU9f1FBU,2021-05-19,BTS (방탄소년단) 'Butter' Official Teaser,HYBE LABELS,2185436122,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
WMweEpGlu_U,2021-05-21,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,8043952605,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
YLXfyHsfFz0,2021-05-30,BTS (방탄소년단) 'Butter' Official MV (Hotter Remix),HYBE LABELS,882537213,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
SCijyd7-wMg,2021-06-01,TWICE Taste of Love First Tasting - Album Trailer,JYP Entertainment,500632478,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
6-kZmn54vOs,2021-06-07,TWICE Alcohol-Free M/V Teaser01,JYP Entertainment,970502293,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
ZGIY1agr3gg,2021-06-08,TWICE Alcohol-Free M/V Teaser02,JYP Entertainment,628019729,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
2IkoKhr6Tss,2021-06-08,EXO 엑소 'Don't fight the feeling' MV,SMTOWN,6553999685,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
XA2YEHn-A8Q,2021-06-10,TWICE Alcohol-Free M/V,JYP Entertainment,7325270549,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
orJSJGHjBLI,2021-06-25,Ed Sheeran - Bad Habits [Official Video],Ed Sheeran,720856586,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
iLycuRm1V0Q,2021-07-07,BTS (방탄소년단) 'Permission to Dance' Official Teaser,HYBE LABELS,1830030439,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
CuklIb9d3fI,2021-07-09,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,12192757428,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
0xSFPome3Tc,2021-07-14,[CHOREOGRAPHY] BTS (방탄소년단) 'Permission to Dance' Dance Practice,BANGTANTV,1232686925,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
j_azcqt-tuM,2021-07-15,BTS: Permission to Dance (TV Debut) | The Tonight Show Starring Jimmy Fallon,The Tonight Show Starring Jimmy Fallon,901250833,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
_y9vYoBfVAY,2021-08-07,Join the BTS #PermissiontoDance Challenge only on YouTube #Shorts,YouTube,2009966116,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
DWR4OJavJ3o,2021-08-16,TXT (투모로우바이투게더) 'LO$ER=LO♡ER' Official Teaser,HYBE LABELS,219306692,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
c9RzZpV460k,2021-08-17,Red Velvet 레드벨벳 'Queendom' MV,SMTOWN,2557584986,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
JzODRUBBXpc,2021-08-18,TXT (투모로우바이투게더) 'LO$ER=LO♡ER' Official MV,HYBE LABELS,975291782,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
EaswWiwMVs8,2021-08-24,Stray Kids 소리꾼 M/V,JYP Entertainment,2317491643,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
gCszAvYz1Go,2021-08-28,LISA - FIRST SINGLE ALBUM LALISA VISUAL TEASER #1,BLACKPINK,368154959,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
ymaIzkXY8nQ,2021-08-28,BTS (방탄소년단) 'Butter (feat. Megan Thee Stallion)' Official Visualizer,HYBE LABELS,978334188,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
TBJVvyMBDdk,2021-09-03,BTS (방탄소년단) ‘Study with BTS’,BANGTANTV,442815659,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
08MCd75frA8,2021-09-08,LISA - 'LALISA' M/V TEASER,BLACKPINK,1280778729,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
IkeZX2hnoOk,2021-09-10,BTS (방탄소년단) 'Butter (feat. Megan Thee Stallion)' Special Performance Video,BANGTANTV,1374841387,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
qIQ3xNqkVC4,2021-09-10,Marvel's Spider-Man 2 - PlayStation Showcase 2021: Reveal Trailer | PS5,PlayStation,589531840,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
awkkyBH2zEo,2021-09-11,LISA - 'LALISA' M/V,BLACKPINK,10537911028,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
rZYxzen9uEA,2021-09-12,LISA: LALISA (TV Debut) | The Tonight Show Starring Jimmy Fallon,The Tonight Show Starring Jimmy Fallon,1036535364,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
XKfgdkcIUxw,2021-09-16,Introducing iPhone 13 Pro | Apple,Apple,860980146,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
1oYWnbTSang,2021-09-18,NCT 127 엔시티 127 'Sticker' MV,SMTOWN,3000460006,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
dNCWe_6HAM8,2021-09-24,LISA - 'MONEY' EXCLUSIVE PERFORMANCE VIDEO,BLACKPINK,2500084837,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
MjCZfZfucEc,2021-09-25,ITZY “LOCO” M/V,JYP Entertainment,2157853970,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
bZYPI4mYwhw,2021-09-25,Coldplay X BTS - My Universe (Official Lyric Video),Coldplay,1857226923,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
YnwoRxbU9Jc,2021-09-27,Coldplay and BTS Share New Song My Universe | Global Citizen Live,Global Citizen,121143887,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
THpDRLWaL-I,2021-09-28,Coldplay X BTS - My Universe (Official Acoustic Version),Coldplay,114827648,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
3YqPKLZF_WU,2021-10-01,Coldplay X BTS - My Universe (Official Video),Coldplay,2864056758,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
f5_wn8mexmM,2021-10-02,TWICE The Feels M/V,JYP Entertainment,3470392156,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
WPdWvnAAurg,2021-10-06,aespa 에스파 'Savage' MV,SMTOWN,4717639610,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
6IRsW_TkyVA,2021-10-13,ENHYPEN (엔하이픈) 'Tamed-Dashed' Official MV,HYBE LABELS,719901828,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
cC9aarA1Mhg,2021-10-16,BTS (방탄소년단) PERMISSION TO DANCE ON STAGE Official Teaser | We’re just getting started,HYBE LABELS,284139870,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
exM1uajp--A,2021-10-19,Apple Event — October 18,Apple,378286214,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
tJXPfNDVF4I,2021-10-23,"DJ Snake, Ozuna, Megan Thee Stallion, LISA of BLACKPINK - SG (Official Music Video)",DJSnakeVEVO,2378658173,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
rqVPhi0oTVU,2021-10-25,BLACKPINK Performs Stay | Dear Earth,BLACKPINK,333118567,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
Dgh2y5C_Xf0,2021-10-28,Clash Royale: The Champions Have Arrived! (Official Launch Trailer!),Clash Royale,263768395,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
vPwaXytZcgI,2021-11-13,TWICE “SCIENTIST” M/V,JYP Entertainment,3131055940,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
PTfPWxjgjoM,2021-11-23,BTS Accepts the 2021 American Music Award for Artist of the Year - The American Music Awards,ABC,162048906,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
9L3aw9PfDpw,2021-11-23,Coldplay X BTS - My Universe (Live at the AMAs),Coldplay,420133365,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
WI-0sKDT4iI,2021-11-25,BTS: Permission to Dance,The Late Late Show with James Corden,275323515,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
9MhwHkKW5UU,2021-12-12,"Brawl Stars: Brawl Talk - 2 NEW BRAWLERS, BRAWLIDAYS, AND MORE!",Brawl Stars,661250931,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
4oJ7gAdaU5A,2022-02-27,"Brawl Stars: Brawl Talk - Flying Brawler, Game Modes, and MORE!",Brawl Stars,134112326,"BR, CA, DE, FR, GB, IN, JP, KR, MX, RU, US"
